t(ms),V(mV)
1.954250000000000114e+02,2.694799358865740402e+01
1.954300000000000068e+02,2.694906980408377706e+01
1.954350000000000307e+02,2.695014586412998980e+01
1.954399999999999977e+02,2.695122173846126401e+01
1.954450000000000216e+02,2.695229739677214198e+01
1.954500000000000171e+02,2.695337280878734987e+01
1.954550000000000125e+02,2.695444794426270718e+01
1.954600000000000364e+02,2.695552277298600785e+01
1.954650000000000318e+02,2.695659726477791551e+01
1.954699999999999989e+02,2.695767138949285524e+01
1.954750000000000227e+02,2.695874511701987331e+01
1.954800000000000182e+02,2.695981841728355022e+01
1.954850000000000136e+02,2.696089126024486760e+01
1.954900000000000375e+02,2.696196361590208568e+01
1.954950000000000330e+02,2.696303545429161730e+01
1.955000000000000000e+02,2.696410674548891961e+01
1.955050000000000239e+02,2.696517745960934320e+01
1.955100000000000193e+02,2.696624756680902379e+01
1.955150000000000148e+02,2.696731703728574914e+01
1.955200000000000387e+02,2.696838584127980809e+01
1.955250000000000057e+02,2.696945394907487170e+01
1.955300000000000011e+02,2.697052133099885651e+01
1.955350000000000250e+02,2.697158795742478077e+01
1.955400000000000205e+02,2.697265379877160996e+01
1.955450000000000159e+02,2.697371882550514144e+01
1.955500000000000398e+02,2.697478300813882868e+01
1.955550000000000068e+02,2.697584631723465165e+01
1.955600000000000023e+02,2.697690872340396240e+01
1.955650000000000261e+02,2.697797019730832346e+01
1.955700000000000216e+02,2.697903070966036054e+01
1.955750000000000171e+02,2.698009023122459737e+01
1.955800000000000125e+02,2.698114873281830484e+01
1.955850000000000080e+02,2.698220618531233583e+01
1.955900000000000034e+02,2.698326255963194953e+01
1.955950000000000273e+02,2.698431782675764978e+01
1.956000000000000227e+02,2.698537195772601649e+01
1.956050000000000182e+02,2.698642492363053691e+01
1.956100000000000136e+02,2.698747669562241214e+01
1.956150000000000091e+02,2.698852724491139909e+01
1.956200000000000045e+02,2.698957654276660989e+01
1.956250000000000284e+02,2.699062456051734671e+01
1.956300000000000239e+02,2.699167126955390117e+01
1.956349999999999909e+02,2.699271664132837500e+01
