Time (ms),Vert[0],Vert[1],Vert[2],Vert[3],Vert[4],Vert[5],Vert[6],Vert[7],
84.15,9.30127452970248,9.29921768304344,9.29569255668353,9.29275533501212,9.29040580801502,9.28864380942792,9.2874692133272,9.28688193616055,
84.2,9.76608337159157,9.76402639311803,9.76050100907643,9.75756355030178,9.75521381898617,9.75345165862512,9.75227695061166,9.75168961626979,
84.24999,10.2833866495364,10.2813295500941,10.2778039295732,10.2748662532047,10.2725163343827,10.2707540255592,10.2695792148418,10.2689918280294,
84.3,10.8478465216236,10.8457893102309,10.8422634708605,10.8393255931204,10.8369755007713,10.8352130545541,10.83403814879,10.8334507134192,
84.35,11.4549433177202,11.4528860013938,11.449359956891,11.4464218904011,11.4440716354017,11.442309060403,11.4411340655502,11.4405465846648,
84.4,12.1010017766942,12.0989443602433,12.0954181200094,12.0924798734206,12.090129463226,12.0883667653485,12.0871916854903,12.0866041611766,
84.45,12.7832481917663,12.781190677561,12.7776642462294,12.774725823805,12.772375262089,12.7706124442418,12.7694372813908,12.7688497146769,
84.5,13.4999049432515,13.4978473309828,13.4943207079495,13.4913821091339,13.4890313954177,13.4872684572214,13.4860932111152,13.4855056018671,
84.55,14.2503295849023,14.2482718713639,14.2447450503608,14.2418062693858,14.2394553986985,14.2376923362171,14.2365170041328,14.2359293509593,
84.6,15.0352068540409,15.033149032977,15.0296220017742,15.0266830273858,15.0243319900287,15.0225687955826,15.021393372207,15.0208056723936,
84.64999,15.856804033639,15.8547460957235,15.8512188360882,15.8482796515083,15.8459284330216,15.8441650951609,15.8429895725727,15.8424018220723,
84.7,16.7193034299797,16.7172453630166,16.7137178511063,16.7107784343936,16.7084270158678,16.7066635196185,16.7054878874581,16.7049000809777,
84.75,17.6292306313912,17.6271724208722,17.6236446283219,17.6207049533731,17.6183533123102,17.6165896398566,17.6154138857978,17.6148260170397,
84.8,18.5960033020195,18.5939449322426,18.5904168283537,18.5874768669159,18.5851249789643,18.5833611110216,18.5821852217214,18.581597283868,
84.85,19.632630307919,19.6305717640127,19.6270433197086,19.6241030450189,19.6217508871088,19.6199868054054,19.6188107682208,19.6182227548122,
84.9,20.7565882802554,20.7545295516895,20.751000746378,20.7480601394779,20.7457076952614,20.7439433868461,20.7427671928137,20.742179099269,
84.95,21.990875344946,21.9888164315344,21.9852872648435,21.9823463253755,21.9799935945309,21.9782290591388,21.9770527080701,21.9764645342914,
85,23.3651497303245,23.3630906524314,23.3595611641591,23.3566199287242,23.3542669427734,23.3525022053499,23.3513257144947,23.3507374692926,
85.05,24.9166146704483,24.9145554861801,24.9110257899042,24.908084362986,24.9057312119434,24.9039663437436,24.9027897623867,24.9022014709375,
85.1,26.6897222528615,26.6876630863636,26.684133424758,26.6811920296237,26.6788389058595,26.6770740591789,26.6758974926662,26.6753092087871,
85.14999,28.7324913626715,28.7304324482584,28.7269032793645,28.7239623374503,28.7216096041032,28.719845066448,28.7186687136622,28.7180805389577,
85.2,31.0848321944619,31.0827739373854,31.0792460534131,31.0763062936477,31.0739545788419,31.0721908475335,31.0710150525088,31.070427162741,
85.25,33.7510532602909,33.7489962953311,33.7454709372092,33.7425335014375,33.7401837891481,33.7384216432834,33.7372469449929,33.7366596155204,
85.3,36.6492738137006,36.6472189849175,36.64369780273,36.6407642093434,36.63841780809,36.6366582837759,36.6354853990131,36.634898996049,
85.35,39.5512344847016,39.5491825712051,39.5456670881259,39.5427387388455,39.5403968567075,39.5386409105962,39.5374705012265,39.5368853629339,
85.4,42.0868707234959,42.0848217950183,42.0813121475215,42.0783891681926,42.0760519138693,42.0742996322082,42.0731317579944,42.0725479149371,
85.45,43.9141253000647,43.9120782903468,43.908572394121,43.9056528670506,43.9033185881678,43.9015686627619,43.9004024187742,43.8998194086508,
85.49999,44.9393238407181,44.9372773793338,44.9337725552741,44.9308540151589,44.9285205871515,44.9267713357238,44.9256055581331,44.9250227863358,
85.55,45.2934420525039,45.2913955559862,45.2878906633106,45.2849720601725,45.2826385779634,45.2808892836967,45.2797234765118,45.2791406896082,
